company_id,company_name,year,cash_from_operations_cr,capex_cr,free_cash_flow_cr,cfo_quality,fcf_status,capex_intensity_pct,capex_band,cashflow_signal
ABB,Abbott India Ltd,Mar 2024,1213.0,416.0,797.0,Positive,Positive,34.295136026380874,Moderate,Healthy
ADANIENSOL,Adani Energy Solutions Ltd,Mar 2024,6038.0,4943.0,1095.0,Positive,Positive,81.86485591255382,Capital Intensive,Healthy
ADANIENT,Adani Enterprises Ltd,Mar 2024,10312.0,18767.0,-8455.0,Positive,Negative,181.99185415050428,Capital Intensive,Watch
ADANIGREEN,Adani Green Energy Ltd,Mar 2024,7713.0,21060.0,-13347.0,Positive,Negative,273.04550758459743,Capital Intensive,Watch
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Mar 2024,15018.0,6768.0,8250.0,Positive,Positive,45.06592089492609,Moderate,Healthy
ADANIPOWER,Adani Power Ltd,Mar 2024,14170.0,3481.0,17651.0,Positive,Positive,24.565984474241358,Asset Light,Healthy
AMBUJACEM,Ambuja Cements Ltd,Mar 2024,5646.0,8941.0,-3295.0,Positive,Negative,158.3599008147361,Capital Intensive,Watch
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Mar 2024,1920.0,1537.0,383.0,Positive,Positive,80.05208333333333,Capital Intensive,Healthy
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Mar 2024,6104.0,2548.0,3556.0,Positive,Positive,41.74311926605505,Moderate,Healthy
ATGL,Adani Total Gas Ltd,,,,,Unavailable,Unavailable,,Unavailable,Insufficient Data
AXISBANK,Axis Bank Ltd,Mar 2024,-5555.0,9001.0,-14556.0,Negative,Negative,162.03420342034204,Capital Intensive,Risk
BAJAJ-AUTO,Bajaj Auto Ltd,Mar 2024,6558.0,72.0,6486.0,Positive,Positive,1.0978956999085088,Asset Light,Healthy
BAJAJFINSV,Bajaj Finserv Ltd,Mar 2024,-68674.0,10960.0,-79634.0,Negative,Negative,15.959460640125812,Asset Light,Risk
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Mar 2024,1941.0,472.0,1469.0,Positive,Positive,24.31736218444101,Asset Light,Healthy
BAJFINANCE,Bajaj Finance Ltd,Mar 2024,-72760.0,7171.0,-79931.0,Negative,Negative,9.855689939527213,Asset Light,Risk
BANKBARODA,Bank of Baroda,Mar 2024,-6274.0,1285.0,-7559.0,Negative,Negative,20.481351609818297,Asset Light,Risk
BEL,Bharat Electronics Ltd,Mar 2024,4659.0,5924.0,-1265.0,Positive,Negative,127.15174930242542,Capital Intensive,Watch
BHARTIARTL,Bharti Airtel Ltd,Mar 2024,78898.0,51089.0,27809.0,Positive,Positive,64.75322568379427,Capital Intensive,Healthy
BHEL,"Bharat Heavy Electricals Limited
",Mar 2024,-3713.0,1331.0,-2382.0,Negative,Negative,35.84702396983571,Moderate,Risk
BOSCHLTD,Bosch Ltd,Mar 2024,1253.0,283.0,1536.0,Positive,Positive,22.585794094173984,Asset Light,Healthy
BPCL,Bharat Petroleum Corporation Ltd,Mar 2024,35936.0,10521.0,25415.0,Positive,Positive,29.27704808548531,Moderate,Healthy
BRITANNIA,Britannia Industries Ltd,Mar 2024,2573.0,477.0,3050.0,Positive,Positive,18.53867081228138,Asset Light,Healthy
CANBK,Canara Bank,Mar 2024,15046.0,1750.0,13296.0,Positive,Positive,11.630998271965971,Asset Light,Healthy
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Mar 2024,-35683.0,2855.0,-38538.0,Negative,Negative,8.001008883782193,Asset Light,Risk
CIPLA,"Cipla Ltd
",Mar 2024,4134.0,2982.0,1152.0,Positive,Positive,72.13352685050798,Capital Intensive,Healthy
